priority,collection_id
2,Aach Baden-Württemberg
2,Aach Rheinland-Pfalz
1,Aachen Nordrhein-Westfalen
2,Aalen Baden-Württemberg
2,Aarbergen Hessen
2,Aasbüttel Schleswig-Holstein
2,Abenberg Bayern
2,Abensberg Bayern
2,Abentheuer Rheinland-Pfalz
2,Absberg Bayern
2,Abstatt Baden-Württemberg
2,Abtsbessingen Thüringen
2,Abtsgmünd Baden-Württemberg
2,Abtsteinach Hessen
2,Abtswind Bayern
2,Abtweiler Rheinland-Pfalz
2,Achberg Baden-Württemberg
2,Achern Baden-Württemberg
2,Achim Niedersachsen
2,Achslach Bayern
2,Achstetten Baden-Württemberg
2,Acht Rheinland-Pfalz
2,Achtelsbach Rheinland-Pfalz
2,Achterwehr Schleswig-Holstein
2,Achtrup Schleswig-Holstein
2,Adelberg Baden-Württemberg
2,Adelebsen Niedersachsen
2,Adelheidsdorf Niedersachsen
2,Adelmannsfelden Baden-Württemberg
2,Adelschlag Bayern
2,Adelsdorf Bayern
2,Adelsheim Baden-Württemberg
2,Adelshofen Bayern
2,Adelsried Bayern
2,Adelzhausen Bayern
2,Adenau Rheinland-Pfalz
2,Adenbach Rheinland-Pfalz
2,Adenbüttel Niedersachsen
2,Adendorf Niedersachsen
2,Adlkofen Bayern
2,Admannshagen-Bargeshagen Mecklenburg-Vorpommern
2,Adorf/Vogtland Sachsen
2,Aebtissinwisch Schleswig-Holstein
2,Aerzen Niedersachsen
2,Affalterbach Baden-Württemberg
2,Affing Bayern
2,Affinghausen Niedersachsen
2,Affler Rheinland-Pfalz
2,Agathenburg Niedersachsen
2,Agethorst Schleswig-Holstein
2,Aglasterhausen Baden-Württemberg
2,Aham Bayern
2,Ahaus Nordrhein-Westfalen
2,Ahausen Niedersachsen
2,Ahlbeck Mecklenburg-Vorpommern
2,Ahlden Niedersachsen
2,Ahlefeld-Bistensee Schleswig-Holstein
2,Ahlen Nordrhein-Westfalen
2,Ahlerstedt Niedersachsen
2,Ahlsdorf Sachsen-Anhalt
2,Ahlstädt Thüringen
2,Ahnatal Hessen
2,Ahneby Schleswig-Holstein
2,Ahnsbeck Niedersachsen
2,Ahnsen Niedersachsen
2,Aholfing Bayern
2,Aholming Bayern
2,Ahorn Baden-Württemberg
2,Ahorn Bayern
2,Ahorntal Bayern
2,Ahrbrück Rheinland-Pfalz
2,Ahrensbök Schleswig-Holstein
2,Ahrensburg Schleswig-Holstein
2,Ahrensfelde Brandenburg
2,Ahrenshagen-Daskow Mecklenburg-Vorpommern
2,Ahrenshöft Schleswig-Holstein
2,Ahrenshoop Mecklenburg-Vorpommern
2,Ahrenviöl Schleswig-Holstein
2,Ahrenviölfeld Schleswig-Holstein
2,Aichach Bayern
2,Aicha vorm Wald Bayern
2,Aichelberg Baden-Württemberg
2,Aichen Bayern
2,Aichhalden Baden-Württemberg
2,Aichstetten Baden-Württemberg
2,Aichtal Baden-Württemberg
2,Aichwald Baden-Württemberg
2,Aidenbach Bayern
2,Aidhausen Bayern
2,Aidlingen Baden-Württemberg
2,Aiglsbach Bayern
2,Ailertchen Rheinland-Pfalz
2,Aindling Bayern
2,Ainring Bayern
2,Aislingen Bayern
2,Aiterhofen Bayern
2,Aitern Baden-Württemberg
2,Aitrach Baden-Württemberg
2,Aitrang Bayern
2,Aken (Elbe) Sachsen-Anhalt
2,Aland Sachsen-Anhalt
2,Albaching Bayern
2,Albbruck Baden-Württemberg
2,Albersdorf Schleswig-Holstein
2,Albersdorf Thüringen
2,Albershausen Baden-Württemberg
2,Albersweiler Rheinland-Pfalz
2,Albertshofen Bayern
2,Albessen Rheinland-Pfalz
2,Albig Rheinland-Pfalz
2,Albisheim (Pfrimm) Rheinland-Pfalz
2,Albsfelde Schleswig-Holstein
2,Albstadt Baden-Württemberg
2,Aldenhoven Nordrhein-Westfalen
2,Aldersbach Bayern
2,Aldingen Baden-Württemberg
2,Alerheim Bayern
2,Alesheim Bayern
2,Aletshausen Bayern
2,Alf Rheinland-Pfalz
2,Alfdorf Baden-Württemberg
2,Alfeld Bayern
2,Alfeld (Leine) Niedersachsen
2,Alfhausen Niedersachsen
2,Alflen Rheinland-Pfalz
2,Alfstedt Niedersachsen
2,Alfter Nordrhein-Westfalen
2,Algermissen Niedersachsen
2,Alheim Hessen
2,Alken Rheinland-Pfalz
2,Alkersleben Thüringen
2,Alkersum Schleswig-Holstein
2,Allenbach Rheinland-Pfalz
2,Allendorf Hessen
2,Allendorf Rheinland-Pfalz
2,Allendorf Thüringen
2,Allendorf (Lumda) Hessen
2,Allenfeld Rheinland-Pfalz
2,Allensbach Baden-Württemberg
2,Allersberg Bayern
2,Allershausen Bayern
2,Alleshausen Baden-Württemberg
2,Alling Bayern
2,Allmannshofen Bayern
2,Allmannsweiler Baden-Württemberg
2,Allmendingen Baden-Württemberg
2,Allmersbach im Tal Baden-Württemberg
2,Allstedt Sachsen-Anhalt
2,Almdorf Schleswig-Holstein
2,Almersbach Rheinland-Pfalz
2,Alpen Nordrhein-Westfalen
2,Alpenrod Rheinland-Pfalz
2,Alperstedt Thüringen
2,Alpirsbach Baden-Württemberg
2,Alsbach Rheinland-Pfalz
2,Alsbach-Hähnlein Hessen
2,Alsdorf Nordrhein-Westfalen
2,Alsdorf Rheinland-Pfalz
2,Alsenz Rheinland-Pfalz
2,Alsfeld Hessen
2,Alsheim Rheinland-Pfalz
2,Alsleben Sachsen-Anhalt
2,Altbach Baden-Württemberg
2,Alt Bennebek Schleswig-Holstein
2,Alt Bukow Mecklenburg-Vorpommern
2,Altdöbern Brandenburg
2,Altdorf Bayern
2,Altdorf Baden-Württemberg
2,Altdorf Rheinland-Pfalz
2,Altdorf bei Nürnberg Bayern
2,Alt Duvenstedt Schleswig-Holstein
2,Altefähr Mecklenburg-Vorpommern
2,Alteglofsheim Bayern
2,Altena Nordrhein-Westfalen
2,Altenahr Rheinland-Pfalz
2,Altenbamberg Rheinland-Pfalz
2,Altenbeken Nordrhein-Westfalen
2,Altenberg Sachsen
2,Altenberga Thüringen
2,Altenberge Nordrhein-Westfalen
2,Altenbeuthen Thüringen
2,Altenbuch Bayern
2,Altenburg Thüringen
2,Altendiez Rheinland-Pfalz
2,Altendorf Bayern
2,Altenfeld Thüringen
2,Altenglan Rheinland-Pfalz
2,Altengottern Thüringen
2,Altenhagen Mecklenburg-Vorpommern
2,Altenhausen Sachsen-Anhalt
2,Altenhof Schleswig-Holstein
2,Altenhof Mecklenburg-Vorpommern
2,Altenholz Schleswig-Holstein
2,Altenkirchen Rheinland-Pfalz
2,Altenkirchen Mecklenburg-Vorpommern
2,Altenkirchen (Westerwald) Rheinland-Pfalz
2,Altenkrempe Schleswig-Holstein
2,Altenkunstadt Bayern
2,Altenmarkt an der Alz Bayern
2,Altenmedingen Niedersachsen
2,Altenmoor Schleswig-Holstein
2,Altenmünster Bayern
2,Altenpleen Mecklenburg-Vorpommern
2,Altenriet Baden-Württemberg
2,Altenstadt Hessen
2,Altenstadt Bayern
2,Altenstadt an der Waldnaab Bayern
2,Altensteig Baden-Württemberg
2,Altenthann Bayern
2,Altentreptow Mecklenburg-Vorpommern
